,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
152,Bionicle,GameCube,2003,47,5.5,E
153,NHL Hitz 20-02,GameCube,2001,79,7.9,E
154,NCAA Football 2003,GameCube,2002,91,4.3,E
155,BeyBlade VForce: Super Tournament Battle,GameCube,2003,33,5.1,E
156,Dragon Ball Z: Sagas,GameCube,2005,48,6.4,T
157,Spy Hunter,GameCube,2002,71,0.0,T
158,Ty the Tasmanian Tiger 2: Bush Rescue,GameCube,2004,70,8.4,E
159,NFL Street 2,GameCube,2004,77,7.0,E
160,MC Groovz Dance Craze,GameCube,2004,42,0.0,E
161,Prince of Persia: Warrior Within,GameCube,2004,83,7.8,M
162,Ice Age 2: The Meltdown,GameCube,2006,67,7.3,E10+
163,Teenage Mutant Ninja Turtles 2: Battle Nexus,GameCube,2004,49,7.1,T
164,Hulk,GameCube,2003,71,0.0,T
165,The Legend of Spyro: A New Beginning,GameCube,2006,67,6.3,E10+
166,Bloody Roar: Primal Fury,GameCube,2002,75,8.2,T
167,Gauntlet: Dark Legacy,GameCube,2002,60,8.5,T
168,Gun,GameCube,2005,77,8.2,M
169,FIFA Soccer 2002,GameCube,2001,81,6.8,E
170,Charlie and the Chocolate Factory,GameCube,2005,39,0.0,E
171,Open Season,GameCube,2006,59,0.0,E10+
172,Major League Baseball 2K6,GameCube,2006,66,0.0,E
173,The Hobbit,GameCube,2003,61,8.5,E
174,True Crime: New York City,GameCube,2005,59,7.6,M
175,Fight Night Round 2,GameCube,2005,87,6.3,T
176,Looney Tunes: Back in Action,GameCube,2003,64,8.1,E
177,SSX On Tour,GameCube,2005,80,7.2,E
178,Shrek Extra Large,GameCube,2002,36,8.2,T
179,Mega Man Network Transmission,GameCube,2003,65,6.0,E
180,Lost Kingdoms,GameCube,2002,72,8.2,T
181,Midway Arcade Treasures,GameCube,2003,72,7.8,T
182,Cubivore: Survival of the Fittest,GameCube,2002,71,7.5,E
183,Robotech: Battlecry,GameCube,2002,74,0.0,T
184,Midway Arcade Treasures 2,GameCube,2004,74,0.0,M
185,Hot Wheels World Race,GameCube,2003,59,6.8,E
186,Crash Tag Team Racing,GameCube,2005,66,7.1,E10+
187,Flushed Away,GameCube,2006,47,4.0,E
188,Robots,GameCube,2005,56,0.0,E
189,Tiger Woods PGA Tour 2004,GameCube,2003,89,3.0,E
190,NBA 2K3,GameCube,2002,84,0.0,E
191,Burnout 2: Point of Impact,GameCube,2003,89,8.7,E
192,Tak: The Great Juju Challenge,GameCube,2005,75,7.6,E
193,Knockout Kings 2003,GameCube,2002,78,7.8,T
194,NCAA Football 2004,GameCube,2003,89,5.4,E
195,XGIII: Extreme G Racing,GameCube,2001,83,8.0,E
196,Killer7,GameCube,2005,74,8.6,M
197,Super Monkey Ball Adventure,GameCube,2006,51,7.9,E
198,Top Gun: Combat Zones,GameCube,2002,59,0.0,E
199,All-Star Baseball 2003,GameCube,2002,83,6.4,E
200,X-Men: The Official Game,GameCube,2006,50,7.3,T
201,The Incredible Hulk: Ultimate Destruction,GameCube,2005,84,7.5,T
202,Prince of Persia: The Two Thrones,GameCube,2005,84,6.4,M
203,Batman Begins,GameCube,2005,66,7.6,T
204,MLB SlugFest 20-03,GameCube,2002,80,0.0,E
205,FIFA Soccer 2005,GameCube,2004,78,9.0,E
206,Dead to Rights,GameCube,2002,77,6.5,M
207,Sphinx and the Cursed Mummy,GameCube,2003,79,8.1,T
208,Monster House,GameCube,2006,60,0.0,E10+
209,NFL Blitz 20-03,GameCube,2002,72,7.8,E
210,Rayman Arena,GameCube,2002,60,7.0,E
211,4x4 EVO 2,GameCube,2002,56,0.0,E
212,Tiger Woods PGA Tour 2005,GameCube,2004,88,5.0,E
213,NHL 2003,GameCube,2002,79,0.0,E
214,Frogger Beyond,GameCube,2002,60,0.0,E
215,FIFA World Cup Germany 2006,GameCube,2006,76,0.0,E
216,Hitman 2: Silent Assassin,GameCube,2003,83,6.6,M
217,Backyard Baseball,GameCube,2003,70,6.5,E
218,Legends of Wrestling,GameCube,2002,50,0.0,T
219,Monopoly Party,GameCube,2002,65,7.8,E
220,X-Men: Next Dimension,GameCube,2002,63,0.0,T
221,Freedom Fighters,GameCube,2003,83,5.1,T
222,Mega Man X Collection,GameCube,2006,75,7.6,E
223,Mega Man X: Command Mission,GameCube,2004,67,6.7,E
224,The Ant Bully,GameCube,2006,51,4.6,E10+
225,Street Hoops,GameCube,2002,56,0.0,T
226,NBA 2K2,GameCube,2002,90,0.0,E
227,Jeremy McGrath Supercross World,GameCube,2002,36,0.0,E
228,Legends of Wrestling II,GameCube,2002,59,0.0,T
229,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,GameCube,2005,57,8.1,E10+
230,Die Hard: Vendetta,GameCube,2002,54,6.6,M
231,FIFA Street 2,GameCube,2006,63,8.2,E
232,18 Wheeler: American Pro Trucker,GameCube,2002,52,4.5,E
233,BloodRayne,GameCube,2002,73,8.1,M
234,Home Run King,GameCube,2002,66,0.0,E
235,Hot Wheels Velocity X,GameCube,2002,55,6.7,E
236,Mortal Kombat: Deception,GameCube,2005,77,7.8,M
237,Odama,GameCube,2006,62,6.2,E10+
238,Bionicle Heroes,GameCube,2006,51,6.2,E10+
239,The Scorpion King: Rise of the Akkadian,GameCube,2002,49,0.0,T
240,The Polar Express,GameCube,2004,40,3.6,E
241,Tiger Woods PGA Tour 06,GameCube,2005,82,0.0,E
242,Reign of Fire,GameCube,2002,54,0.0,M
243,Metal Arms: Glitch in the System,GameCube,2003,83,8.3,T
244,Hunter: The Reckoning,GameCube,2002,70,5.5,M
245,Baten Kaitos Origins,GameCube,2006,75,8.3,T
246,NHL 2004,GameCube,2003,85,0.0,E
247,Minority Report: Everybody Runs,GameCube,2002,53,0.0,T
248,Beach Spikers: Virtua Beach Volleyball,GameCube,2002,76,7.8,E
249,Universal Studios Theme Parks Adventure,GameCube,2001,39,3.3,T
250,Pac-Man World 3,GameCube,2005,66,6.9,E
251,Freekstyle,GameCube,2002,78,8.0,E
252,Alien Hominid,GameCube,2004,78,7.4,T
253,I-Ninja,GameCube,2003,77,8.0,T
254,MX SuperFly featuring Ricky Carmichael,GameCube,2002,76,0.0,E
255,NASCAR: Dirt to Daytona,GameCube,2002,85,0.0,E
