,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
279,Dragon Ball Z: Harukanaru Densetsu,DS,2007,57,6.7,E
280,Infinite Space,DS,2010,75,7.5,T
281,Marvel: Ultimate Alliance 2,DS,2009,65,4.0,T
282,Treasure World,DS,2009,68,0.0,E
283,Bleach: The 3rd Phantom,DS,2009,59,7.5,T
284,Solatorobo: Red the Hunter,DS,2011,76,8.6,E10+
285,Chronicles of Mystery: Curse of the Ancient Temple,DS,2009,57,0.0,E
286,101-in-1 Explosive Megamix,DS,2009,46,2.8,E
287,Space Invaders Extreme 2,DS,2009,82,7.4,E
288,Naruto: Ninja Destiny,DS,2008,61,4.0,T
289,Tomb Raider: Underworld,DS,2008,70,7.0,T
290,Camping Mama: Outdoor Adventures,DS,2011,51,8.0,E
291,The Last Airbender,DS,2010,69,6.0,E10+
292,Shrek SuperSlam,DS,2005,56,4.6,E10+
293,Six Flags Fun Park,DS,2008,34,0.0,E10+
294,Burnout Legends,DS,2005,38,4.9,E10+
295,WWE SmackDown vs. Raw 2009,DS,2008,58,4.8,T
296,Winning Eleven: Pro Evolution Soccer 2007,DS,2007,63,0.0,E
297,Skate it,DS,2008,72,4.3,E
298,Lost in Blue 3,DS,2008,59,7.3,E10+
299,Dementium: The Ward,DS,2007,72,7.7,M
300,Sudoku Gridmaster,DS,2006,62,0.0,E
301,Pac-Man World 3,DS,2005,44,7.0,E
302,Easy Piano,DS,2010,52,0.0,E
303,Zoo Keeper,DS,2005,74,0.0,E
304,TransFormers Animated: The Game,DS,2008,69,0.0,E
305,Aliens: Infestation,DS,2011,76,8.0,T
306,True Swing Golf,DS,2006,66,0.0,E
307,Rio,DS,2011,59,0.0,E10+
308,Eragon,DS,2006,63,5.3,T
309,Spyro: Shadow Legacy,DS,2005,50,5.1,E
310,Custom Robo Arena,DS,2007,74,7.3,E10+
311,Dragon Ball: Origins 2,DS,2010,70,7.0,T
312,Time Hollow,DS,2008,64,6.8,T
313,Monster House,DS,2006,62,0.0,E10+
314,Lufia: Curse of the Sinistrals,DS,2010,80,7.8,E10+
315,Bigfoot: Collision Course,DS,2009,26,5.5,E
316,WordJong,DS,2007,77,0.0,E
317,Puzzle Quest: Galactrix,DS,2009,75,6.6,E10+
318,Bleach: Dark Souls,DS,2008,82,7.3,T
319,Prince of Persia: The Forgotten Sands,DS,2010,57,7.5,T
320,Space Invaders Extreme,DS,2008,85,6.1,E
321,Brain Boost: Gamma Wave,DS,2006,40,0.0,E
322,Ridge Racer DS,DS,2004,63,0.0,E
323,Brain Boost: Beta Wave,DS,2006,39,0.0,E
324,The Wizard of Oz: Beyond The Yellow Brick Road,DS,2009,68,6.0,E
325,SafeCracker: The Ultimate Puzzle Adventure,DS,2009,43,0.0,E
326,Geometry Wars: Galaxies,DS,2007,79,5.5,E
327,Heroes of Mana,DS,2007,66,7.7,E10+
328,Super Dodgeball Brawlers,DS,2008,65,0.0,E
329,Chicken Shoot,DS,2007,19,4.9,E10+
330,Arctic Tale,DS,2007,38,0.0,E
331,Mr. Driller: Drill Spirits,DS,2004,70,5.2,E
332,Monster Lab,DS,2008,75,6.8,E10+
333,Travel Games For Dummies,DS,2008,62,0.0,E
334,Metal Slug 7,DS,2008,70,7.6,T
335,Magnetica,DS,2006,68,7.1,E
336,Open Season,DS,2006,72,0.0,E10+
337,Back At The Barnyard: Slop Bucket Games,DS,2008,49,8.3,E
338,Vampire Moon: The Mystery of the Hidden Sun,DS,2010,50,0.0,E
339,Retro Atari Classics,DS,2005,51,0.0,E
340,Need for Speed Underground 2,DS,2005,65,5.6,E
341,Top Spin 3,DS,2008,65,0.0,E
342,Syberia,DS,2008,52,0.0,T
343,Puzzle Kingdoms,DS,2009,64,0.0,E10+
344,Brain Assist,DS,2008,53,0.0,E
345,Monster Rancher DS,DS,2010,58,0.0,E
346,Ninjatown,DS,2008,80,8.1,E
347,Anno 1701: Dawn of Discovery,DS,2008,78,7.4,E
348,Summon Night: Twin Age,DS,2008,73,6.5,E10+
349,Spider-Man: Battle for New York,DS,2006,68,4.6,E10+
350,Puzzle de Harvest Moon,DS,2007,41,5.3,E
351,7 Wonders of the Ancient World,DS,2007,60,5.6,E
352,Left Brain Right Brain 2,DS,2008,51,0.0,E
353,Teenage Mutant Ninja Turtles: Arcade Attack,DS,2009,36,6.2,E10+
354,Space Bust-A-Move,DS,2009,71,0.0,E
355,Need for Speed: ProStreet,DS,2007,74,7.8,E10+
356,Impossible Mission,DS,2007,61,0.0,E
357,Major League Baseball 2K8 Fantasy All-Stars,DS,2008,59,0.0,E
358,Madden NFL 06,DS,2005,66,0.0,E
359,Thor: God of Thunder,DS,2011,64,8.0,T
360,Lunar: Dragon Song,DS,2005,59,4.2,E10+
361,Horse Life,DS,2007,68,0.0,E
362,Godzilla Unleashed: Double Smash,DS,2007,28,5.2,E10+
363,Atelier Annie: Alchemists of Sera Island,DS,2009,70,6.3,E10+
364,WWE SmackDown vs Raw 2008,DS,2007,61,5.4,T
365,DiRT 2,DS,2009,73,0.0,T
366,Lost Magic,DS,2006,68,6.6,E
367,MX vs. ATV Untamed,DS,2007,61,0.0,E
368,Zenses: Ocean,DS,2008,59,0.0,E
369,Peggle: Dual Shot,DS,2009,84,6.4,E
370,Battles of Prince of Persia,DS,2005,64,7.2,E10+
371,Marvel Trading Card Game,DS,2007,61,0.0,T
372,Dragon Ball: Origins,DS,2008,78,7.4,T
373,Midnight Mysteries: The Edgar Allan Poe Conspiracy,DS,2010,55,0.0,T
374,Tecmo Bowl: Kickoff,DS,2008,66,0.0,E
375,Puzzle Quest 2,DS,2010,74,5.7,E10+
376,Retro Game Challenge,DS,2009,77,5.9,E
377,Mechanic Master,DS,2008,76,0.0,E
378,Ping Pals,DS,2004,28,4.3,E
379,Zubo,DS,2009,75,0.0,E10+
380,The Hardy Boys: Treasure on the Tracks,DS,2009,65,0.0,E
381,Dementium II,DS,2010,75,8.4,M
382,GoldenEye: Rogue Agent,DS,2005,58,7.5,T
383,de Blob 2,DS,2011,75,7.8,E10+
384,Guitar Rock Tour,DS,2008,60,0.0,E10+
385,Cake Mania,DS,2007,55,0.0,E
386,Army Men: Soldiers of Misfortune,DS,2008,35,0.0,E
387,Lost in Blue,DS,2005,69,7.4,E10+
388,Mushroom Men: Rise of the Fungi,DS,2008,45,5.0,E
389,ATV: Quad Frenzy,DS,2005,35,0.0,E
390,ATV Quad Kings,DS,2010,47,0.0,E
391,Dawn of Discovery,DS,2009,82,6.3,T
392,Naruto Shippuden: Naruto vs. Sasuke,DS,2010,64,6.7,E10+
393,Hysteria Hospital: Emergency Ward,DS,2009,45,0.0,E
394,Trauma Center: Under the Knife 2,DS,2008,79,6.1,T
395,X-Men: The Official Game,DS,2006,50,0.0,T
396,Princess Debut,DS,2008,71,7.3,E
397,The Lord of the Rings: Conquest,DS,2009,61,7.5,T
398,Exit DS,DS,2008,64,5.8,E
399,WireWay,DS,2009,62,0.0,E
400,Astro Boy: The Video Game,DS,2009,34,5.5,E10+
401,Miami Law,DS,2009,56,8.3,T
402,PictoImage,DS,2008,61,0.0,E
403,Draglade,DS,2007,71,0.0,E10+
404,Master of the Monster Lair,DS,2008,56,0.0,E10+
405,Sudoku Mania,DS,2006,25,0.0,E
406,Spider-Man: Web of Shadows,DS,2008,77,7.2,T
407,Cate West: The Vanishing Files,DS,2008,68,0.0,E10+
408,Harvest Moon: Frantic Farming,DS,2009,72,5.2,E
409,Blue Dragon: Awakened Shadow,DS,2010,63,7.6,E10+
410,Star Wars: Lethal Alliance,DS,2006,57,0.0,T
411,Digimon World DS,DS,2006,71,7.7,E10+
