,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
174,Dark Souls II,PC,2014,91,7.2,T
175,Dungeon Siege III,PC,2011,72,4.7,T
176,The Secret World,PC,2012,74,8.3,M
177,Star Wars: Battlefront II,PC,2017,65,1.9,T
178,LEGO Marvel Super Heroes,PC,2013,78,8.1,E10+
179,Far Cry: Primal,PC,2016,74,6.7,M
180,Stronghold 3,PC,2011,47,3.0,T
181,The Crew,PC,2014,71,6.3,T
182,The Sims 3: Seasons,PC,2012,73,7.4,T
183,NBA 2K12,PC,2011,86,7.0,E
184,Bulletstorm,PC,2011,82,7.8,M
185,Wildstar,PC,2014,82,7.6,T
186,Sniper: Ghost Warrior,PC,2010,55,5.4,M
187,Darksiders II,PC,2012,81,8.0,M
188,DiRT 3,PC,2011,86,7.1,T
189,Darksiders,PC,2010,83,7.8,M
190,The Sims Medieval: Pirates and Nobles,PC,2011,67,4.9,T
191,Deponia,PC,2012,74,8.1,
192,F1 2012,PC,2012,80,7.4,E
193,Terraria,PC,2011,83,8.8,T
194,Alien: Isolation,PC,2014,81,8.5,M
195,Just Cause 3,PC,2015,74,6.0,M
196,ArmA II,PC,2009,77,7.3,M
197,Cities: Skylines,PC,2015,85,8.7,E
198,The Orange Box,PC,2007,96,8.9,M
199,Star Wars: Knights of the Old Republic,PC,2003,93,9.0,T
200,Risen,PC,2009,77,7.9,M
201,The Darkness II,PC,2012,77,7.6,M
202,Battlefield: Hardline,PC,2015,71,4.3,M
203,Dead Rising 2,PC,2010,78,6.5,M
204,Call of Duty: Infinite Warfare,PC,2016,73,4.4,M
205,Red Orchestra 2: Heroes of Stalingrad,PC,2011,76,7.3,M
206,Dragon Age Origins: Awakening,PC,2010,82,8.0,M
207,Euro Truck Simulator 2,PC,2013,79,8.6,
208,Warcraft III: Reign of Chaos,PC,2002,92,9.2,T
209,Total War: WARHAMMER,PC,2016,86,7.4,T
210,Batman: Arkham Knight,PC,2015,70,4.3,M
211,Diablo II,PC,2000,88,8.8,M
212,Street Fighter IV,PC,2009,91,7.4,T
213,Project CARS,PC,2015,83,7.2,E
214,Just Cause 2,PC,2010,84,7.7,M
215,Sleeping Dogs,PC,2012,80,8.2,M
216,Rocksmith,PC,2012,78,8.1,T
217,Rise of the Tomb Raider,PC,2016,86,8.0,M
218,Dishonored 2,PC,2016,86,8.0,M
219,Alice: Madness Returns,PC,2011,75,8.4,M
220,Tropico 5,PC,2014,75,6.9,T
221,FIFA 17,PC,2016,84,4.4,E
222,Darkspore,PC,2011,65,6.0,T
223,Lost Horizon,PC,2010,77,7.5,T
224,Call of Juarez: The Cartel,PC,2011,51,3.6,M
225,Stronghold,PC,2001,81,8.8,T
226,Machinarium,PC,2009,85,8.5,E10+
227,Sonic Generations,PC,2011,77,8.4,E
228,Stronghold Kingdoms,PC,2012,75,4.7,
229,The Book of Unwritten Tales,PC,2011,82,8.3,T
230,Wasteland 2,PC,2014,81,7.2,M
231,Pro Evolution Soccer 2014,PC,2013,74,4.4,E
232,Rome: Total War,PC,2004,92,9.0,T
233,Doom 3,PC,2004,87,7.9,M
234,The Sims 4: City Living,PC,2016,78,5.8,T
235,The Whispered World,PC,2010,70,7.2,E
236,F1 2014,PC,2014,61,5.1,E
237,Medieval II: Total War,PC,2006,88,9.0,T
238,Dungeons,PC,2011,65,4.7,M
239,Age of Empires II: The Age of Kings,PC,1999,92,9.0,T
240,Halo 2,PC,2007,72,6.7,M
241,Football Manager 2017,PC,2016,80,5.5,E
242,Pro Evolution Soccer 2012,PC,2011,77,6.5,E
243,Wolfenstein: The Old Blood,PC,2015,76,8.0,M
244,Risen 3: Titan Lords,PC,2014,65,5.8,M
245,Red Faction: Armageddon,PC,2011,75,6.7,M
246,The Sims 2: Apartment Life,PC,2008,75,7.5,T
247,Age of Mythology,PC,2002,89,8.9,T
248,Counter-Strike: Source,PC,2004,88,8.2,M
249,Gray Matter,PC,2011,72,7.6,T
250,Star Wars: Empire at War,PC,2006,79,8.3,T
251,Bejeweled 3,PC,2010,82,7.8,E
252,Pro Evolution Soccer 2013,PC,2012,80,7.3,E
253,Battleborn,PC,2016,69,7.0,T
254,Battlefield 2,PC,2005,91,8.5,T
255,Titanfall 2,PC,2016,86,8.6,M
256,Major League Baseball 2K11,PC,2011,74,5.9,E
257,Sniper: Ghost Warrior 2,PC,2013,52,5.9,M
258,The First Templar,PC,2011,57,6.0,T
259,Game of Thrones,PC,2012,58,6.5,M
260,Tomb Raider: Underworld,PC,2008,80,7.9,T
261,X Rebirth,PC,2013,33,3.2,T
262,Silent Hunter III,PC,2005,90,8.2,T
263,Metal Gear Solid V: The Phantom Pain,PC,2015,91,7.9,M
264,Serious Sam 3: BFE,PC,2011,72,8.0,
265,Need For Speed: Undercover,PC,2008,65,5.7,T
266,Need for Speed: Most Wanted,PC,2012,78,4.6,E10+
267,Rayman Origins,PC,2012,86,8.2,E10+
268,Need for Speed Underground 2,PC,2004,82,8.7,E
269,Torchlight,PC,2009,83,7.5,T
270,The Lord of the Rings: The Battle for Middle-Earth,PC,2004,82,8.8,T
271,Divinity II: Ego Draconis,PC,2010,72,7.7,M
272,Emergency 2012,PC,2010,61,5.4,T
273,Hearts of Iron III,PC,2009,77,7.3,E10+
274,Dark Souls III,PC,2016,89,8.6,M
275,Dead Island: Riptide,PC,2013,61,6.1,M
276,Operation Flashpoint: Red River,PC,2011,67,4.9,M
277,Football Manager 2010,PC,2009,87,7.7,E
278,Fable: The Lost Chapters,PC,2005,83,8.6,M
279,The Sims 2: Seasons,PC,2007,78,7.4,T
280,The Testament of Sherlock Holmes,PC,2012,73,7.7,M
281,Goodbye Deponia,PC,2013,80,7.9,
282,Resident Evil 5,PC,2009,86,7.1,M
283,Cities XL 2012,PC,2011,61,5.6,E
284,Alan Wake,PC,2012,83,8.0,T
285,Age of Empires III: The Asian Dynasties,PC,2007,81,8.4,T
286,GRID 2,PC,2013,80,5.9,E
287,Pro Evolution Soccer 2015,PC,2014,82,5.7,E
288,Age of Empires Online,PC,2011,70,5.7,E10+
289,The LEGO Movie Videogame,PC,2014,68,6.7,E10+
290,LEGO Batman: The Videogame,PC,2008,80,7.0,E10+
291,Blur,PC,2010,81,7.5,E10+
292,The Next BIG Thing,PC,2011,75,7.3,E10+
293,Unreal Tournament III,PC,2007,83,7.8,M
294,Call of Duty 2,PC,2005,86,8.5,T
295,Dead Rising 2: Off the Record,PC,2011,66,5.9,M
296,The Witcher,PC,2007,81,8.4,M
297,A New Beginning,PC,2012,72,6.9,
298,Create,PC,2010,54,5.7,E
299,Sacred 2: Fallen Angel,PC,2008,71,6.8,M
300,pro evolution soccer 2011,PC,2010,79,0.0,E
301,Zoo Tycoon 2,PC,2004,72,7.9,E
302,Street Fighter V,PC,2016,74,3.2,T
303,The Sims 2: University,PC,2005,81,8.0,T
304,Remember Me,PC,2013,65,7.4,M
305,The Saboteur,PC,2009,76,7.8,M
306,Rocket League,PC,2015,86,7.6,E
307,Titan Quest,PC,2006,77,7.9,T
308,Gothic 3,PC,2006,63,7.4,T
309,F1 2010,PC,2010,84,7.2,E
310,Hearts of Iron IV,PC,2016,83,7.8,
311,Front Mission Evolved,PC,2010,63,5.2,T
312,The Lost Chronicles of Zerzura,PC,2014,76,6.9,
313,Murdered: Soul Suspect,PC,2014,59,7.3,M
314,Airline Tycoon 2,PC,2011,57,5.3,E
315,IL-2 Sturmovik: Cliffs of Dover,PC,2011,60,7.0,T
316,Medal of Honor: Airborne,PC,2007,78,7.3,T
317,Men of War: Assault Squad,PC,2011,77,7.9,T
318,F1 2015,PC,2015,61,4.0,E
319,Mortal Kombat X,PC,2015,76,5.8,M
320,Cities in Motion,PC,2011,70,7.6,E
321,Venetica,PC,2011,61,6.4,T
322,Operation Flashpoint: Dragon Rising,PC,2009,76,5.4,M
323,The Bureau: XCOM Declassified,PC,2013,66,6.5,M
324,Bejeweled Twist,PC,2008,78,7.7,E
325,Star Wars: Republic Commando,PC,2005,78,8.5,T
326,Plants vs. Zombies,PC,2009,87,8.7,E10+
327,DiRT 2,PC,2009,89,8.3,T
328,Payday 2,PC,2013,79,4.0,M
329,Grand Ages: Medieval,PC,2015,63,5.4,T
330,Plants vs. Zombies: Garden Warfare 2,PC,2016,82,7.8,E10+
331,Singularity,PC,2010,76,7.7,M
332,Freelancer,PC,2003,85,8.8,T
333,LEGO Indiana Jones 2: The Adventure Continues,PC,2009,66,7.2,E10+
334,LEGO The Hobbit,PC,2014,68,6.6,E10+
335,Need for Speed Carbon,PC,2006,78,7.6,E10+
336,Empire Earth,PC,2001,81,8.3,T
337,StarCraft,PC,1998,88,9.0,T
338,Need for Speed Underground,PC,2003,82,8.4,E
339,Far Cry,PC,2004,89,7.9,M
340,Ship Simulator Extremes,PC,2010,49,6.6,E
341,FIFA Soccer 10,PC,2009,72,6.1,E
342,The Sims,PC,2000,92,8.0,T
343,FIFA Manager 12,PC,2011,72,4.4,E
344,Company of Heroes,PC,2006,93,8.6,M
345,Silent Hunter: Wolves of the Pacific,PC,2007,79,7.7,T
346,Supreme Commander,PC,2007,86,8.4,E10+
347,Wolfenstein,PC,2009,74,7.8,M
348,Microsoft Train Simulator,PC,2001,84,7.1,E
349,Mafia,PC,2002,88,9.1,M
350,Tropico 3,PC,2009,79,8.1,T
351,Life is Strange,PC,2015,83,8.6,M
352,Pro Evolution Soccer 2016,PC,2015,76,4.3,E
353,City Life: World Edition,PC,2007,75,5.5,E
354,IL-2 Sturmovik: 1946,PC,2007,86,8.5,T
355,Praetorians,PC,2003,78,8.0,T
356,Secret Files: Tunguska,PC,2006,66,7.3,T
357,Clockwork Empires,PC,2016,58,3.1,
358,Resident Evil 6,PC,2013,69,6.2,M
359,Need for Speed: ProStreet,PC,2007,70,7.1,E10+
360,The Sims Deluxe,PC,2002,92,8.0,T
361,LEGO Indiana Jones: The Original Adventures,PC,2008,78,7.7,E10+
362,The Sims 2: Pets,PC,2006,76,7.0,T
363,Blood Bowl,PC,2009,72,5.3,T
364,Port Royale 2,PC,2004,75,8.2,T
365,Company of Heroes: Tales of Valor,PC,2009,70,7.4,M
366,Stellaris,PC,2016,78,8.0,
367,Devil May Cry 4,PC,2008,78,8.4,M
368,Heroes of Might and Magic V,PC,2006,77,8.1,T
369,Age of Mythology: The Titans,PC,2003,84,8.9,T
370,Virtua Tennis 4,PC,2011,66,7.2,E
371,GRID,PC,2019,74,5.3,E
372,Company of Heroes: Opposing Fronts,PC,2007,87,8.3,M
373,Rise of Nations,PC,2003,89,8.7,T
374,Men of War: Vietnam,PC,2011,68,5.4,T
375,Imperial Glory,PC,2005,69,8.1,T
376,Resident Evil: Revelations,PC,2013,77,7.2,M
377,Grand Theft Auto: Vice City,PC,2003,94,8.7,M
378,Empire Earth III,PC,2007,50,3.3,T
379,Resident Evil: Operation Raccoon City,PC,2012,48,4.3,M
380,Off-Road Drive,PC,2011,60,6.0,
381,LEGO Jurassic World,PC,2015,72,7.6,E10+
382,The Movies,PC,2005,84,8.2,T
383,Supreme Commander: Forged Alliance,PC,2007,81,8.7,E10+
384,Lost Planet 3,PC,2013,61,6.2,T
385,Castlevania: Lords of Shadow 2,PC,2014,58,7.7,M
386,Halo: Combat Evolved,PC,2003,83,8.1,M
